Primary Site,Mutation to Gene,Percent Affected,Survival Estimate
Breast, 1.080, 0.002,0.9990521327014218
Breast, 1.033, 0.004,0.9990521327014218
Breast, 1.036, 0.007,0.9990521327014218
Breast, 1.037, 0.001,0.9990521327014218
Breast, 1.042, 0.004,0.9990521327014218
Breast, 1.025, 0.002,0.9990521327014218
Breast, 1.039, 0.001,0.9990521327014218
Breast, 1.039, 0.003,0.9990521327014218
Breast, 1.022, 0.005,0.9990521327014218
Breast, 1.129, 0.003,0.9990521327014218
Breast, 1.029, 0.001,0.9990521327014218
Breast, 1.018, 0.001,0.9980774476939082
Breast, 1.044, 0.002,0.9980774476939082
Breast, 1.048, 0.002,0.9980774476939082
Breast, 1.045, 0.003,0.9980774476939082
Breast, 1.041, 0.001,0.9970998987735419
Breast, 1.046, 0.004,0.9970998987735419
Breast, 1.057, 0.001,0.9961213905313696
Breast, 1.039, 0.002,0.9961213905313696
Breast, 1.031, 0.002,0.9961213905313696
Breast, 1.023, 0.001,0.9961213905313696
Breast, 1.051, 0.001,0.9961213905313696
Breast, 1.043, 0.002,0.9961213905313696
Breast, 1.064, 0.002,0.9951380525347937
Breast, 1.024, 0.001,0.9941547145382178
Breast, 1.041, 0.002,0.9941547145382178
Breast, 1.025, 0.002,0.9941547145382178
Breast, 1.054, 0.002,0.9941547145382178
Breast, 1.054, 0.009,0.9941547145382178
Breast, 1.050, 0.003,0.993167470531725
Breast, 1.200, 0.002,0.993167470531725
Breast, 1.038, 0.012,0.993167470531725
Breast, 1.052, 0.003,0.993167470531725
Breast, 1.117, 0.001,0.993167470531725
Breast, 1.035, 0.001,0.993167470531725
Breast, 1.017, 0.003,0.993167470531725
Breast, 1.009, 0.001,0.993167470531725
Breast, 1.035, 0.000,0.993167470531725
Breast, 1.058, 0.002,0.993167470531725
Breast, 1.058, 0.004,0.993167470531725
Breast, 1.027, 0.001,0.9921703144368137
Breast, 1.041, 0.002,0.9921703144368137
Breast, 1.045, 0.001,0.9921703144368137
Breast, 1.018, 0.006,0.991171149971117
Breast, 1.005, 0.001,0.991171149971117
Breast, 1.065, 0.003,0.9901709772668071
Breast, 1.037, 0.005,0.9901709772668071
Breast, 1.125, 0.001,0.9901709772668071
Breast, 1.009, 0.003,0.9901709772668071
Breast, 1.052, 0.001,0.9901709772668071
Breast, 1.019, 0.002,0.9901709772668071
Breast, 1.009, 0.002,0.9891657275436937
Bronchus and lung, 1.352, 0.009,1
Bronchus and lung, 1.252, 0.017,0.9990138067061144
Bronchus and lung, 1.250, 0.002,0.9980276134122288
Bronchus and lung, 1.202, 0.025,0.9970414201183432
Bronchus and lung, 1.158, 0.002,0.9970414201183432
Bronchus and lung, 1.214, 0.020,0.9960542503954537
